Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Precursors for Nonlymphoid-Tissue Treg Cells Reside in Secondary Lymphoid Organs and Are Programmed by the Transcription Factor BATF,,10.1016/j.immuni.2019.12.002,True,Precursors for Nonlymphoid-Tissue Treg Cells Reside in Secondary Lymphoid Organs and Are Programmed by the Transcription Factor BATF.pdf,2020,,Immunity,True,SciHub,Michael Delacher and Charles D. Imbusch and Agnes Hotz-Wagenblatt and Jan-Philipp Mallm and Katharina Bauer and Malte Simon and Dania Riegel and Andr{\'{e}} F. Rendeiro and Sebastian Bittner and Lieke Sanderink and Asmita Pant and Lisa Schmidleithner and Kathrin L. Braband and Bernd Echtenachter and Alexander Fischer and Valentina Giunchiglia and Petra Hoffmann and Matthias Edinger and Christoph Bock and Michael Rehli and Benedikt Brors and Christian Schmidl and Markus Feuerer
Genetic characterization of stem cell-like cancer cell in the peri-tumoral regions and proliferative lymphocyte in the peripheral blood of patients with glioblastoma,,10.1101/2020.01.06.895987,True,,2020,,Cold Spring Harbor Laboratory,False,,Runwei Yang and Guanglong Huang and Jinglin Guo and Yaomin Li and Haimin Song and Kaishu Li and Guozhong Yi and Zhiying Lin and Xiran Wang and Sidi Xie and Zhifeng Liu and Xiaofeng Shi and Ke Li and Songtao Qi and Yawei Liu
Single-cell reconstruction of the adult human heart during heart failure and recovery reveals the cellular landscape underlying cardiac function,,10.1038/s41556-019-0446-7,True,Single-cell reconstruction of the adult human heart during heart failure and recovery reveals the cellular landscape underlying cardiac function.pdf,2020,,Nature Cell Biology,True,SciHub,Li Wang and Peng Yu and Bingying Zhou and Jiangping Song and Zheng Li and Mingzhi Zhang and Guangran Guo and Yin Wang and Xiao Chen and Leng Han and Shengshou Hu
Nivolumab treatment of relapsed/refractory Epstein-Barr virus–associated hemophagocytic lymphohistiocytosis in adults,,10.1182/blood.2019003886,True,Nivolumab treatment of relapsed_refractory Epstein-Barr virus_associated hemophagocytic lymphohistiocytosis in adults.pdf,2020,,Blood,True,SciHub,Pengpeng Liu and Xiangyu Pan and Chong Chen and Ting Niu and Xiao Shuai and Jian Wang and Xuelan Chen and Jiazhuo Liu and Yong Guo and Liping Xie and Yu Wu and Yu Liu and Ting Liu
Single-cell RNA-seq unveils critical regulators of human FOXP3+ regulatory T cell stability,,10.1016/j.scib.2020.01.002,True,Single-cell RNA-seq unveils critical regulators of human FOXP3__regulatory T cell stability.pdf,2020,,Science Bulletin,True,SciHub,Gang Yi and Yi Zhao and Feng Xie and Fuxiang Zhu and Ziyun Wan and Jingwan Wang and Xie Wang and Kai Gao and Lixia Cao and Xinyang Li and Chen Chen and Yashu Kuang and Xiu Qiu and Huanming Yang and Jian Wang and Bing Su and Lei Chen and Wei Zhang and Yong Hou and Xun Xu and Yinyan He and Andy Tsun and Xiao Liu and Bin Li
Single-Cell Molecular and Cellular Architecture of the Mouse Neurohypophysis,,10.1523/ENEURO.0345-19.2019,True,,2020,,eneuro,False,,Qiyu Chen and Dena Leshkowitz and Janna Blechman and Gil Levkowitz
Basal-like and Classical cells coexistence in pancreatic cancer revealed by single cell analysis,,10.1101/2020.01.07.897454,True,,2020,,Cold Spring Harbor Laboratory,False,,Natalia Juiz and Abdessamad Elkaoutari and Martin Bigonnet and Odile Gayet and Julie Roques and R{\'{e}}my Nicolle and Juan Iovanna and Nelson Dusetti
Dynamics of human monocytes and airway macrophages during healthy aging and after transplant,,10.1084/jem.20191236,True,Dynamics of human monocytes and airway macrophages during healthy aging and after transplant.pdf,2020,,Journal of Experimental Medicine,True,SciHub,Adam J. Byrne and Joseph E. Powell and Brendan J. O'Sullivan and Patricia P. Ogger and Ashley Hoffland and James Cook and Katie L. Bonner and Richard J. Hewitt and Simone Wolf and Poonam Ghai and Simone A. Walker and Samuel W. Lukowski and Philip L. Molyneaux and Sejal Saglani and Daniel C. Chambers and Toby M. Maher and Clare M. Lloyd
The Dynamic Transcriptional Cell Atlas of Testis Development during Human Puberty,,10.1016/j.stem.2019.12.005,True,The Dynamic Transcriptional Cell Atlas of Testis Development during Human Puberty.pdf,2020,,Cell Stem Cell,True,SciHub,Jingtao Guo and Xichen Nie and Maria Giebler and Hana Mlcochova and Yueqi Wang and Edward J. Grow and Robin Kim and Melissa Tharmalingam and Gabriele Matilionyte and Cecilia Lindskog and Douglas T. Carrell and Rod T. Mitchell and Anne Goriely and James M. Hotaling and Bradley R. Cairns
"Identification of a LIF-Responsive, Replication-Competent Subpopulation of Human β Cells",,10.1016/j.cmet.2019.12.009,True,Identification of a LIF-Responsive_ Replication-Competent Subpopulation of Human β Cells.pdf,2020,,Cell Metabolism,True,SciHub,Edwin A. Rosado-Olivieri and Idil I. Aigha and Jennifer H. Kenty and Douglas A. Melton
Cell-type specific impact of glucocorticoid receptor activation on the developing brain,,10.1101/2020.01.09.897868,True,,2020,,Cold Spring Harbor Laboratory,False,,Cristiana Cruceanu and Leander Dony and Anthi C. Krontira and David S. Fischer and Simone Roeh and Rossella Di Giaimo and Christina Kyrousi and Janine Arloth and Darina Czamara and Silvia Martinelli and Stefanie Wehner and Michael S. Breen and Maik Koedel and Susann Sauer and Monika Rex-Haffner and Silvia Cappello and Fabian J. Theis and Elisabeth B. Binder
Single-cell mapping reveals new markers and functions of lymphatic endothelial cells in lymph nodes,,10.1101/2020.01.09.900241,True,,2020,,Cold Spring Harbor Laboratory,False,,Noriki Fujimoto and Yuliang He and Marco D'Addio and Carlotta Tacconi and Michael Detmar and Lothar C. Dieterich
Mitogen-activated protein kinase activity drives cell trajectories in colorectal cancer,,10.1101/2020.01.10.901579,True,,2020,,Cold Spring Harbor Laboratory,False,,Florian Uhlitz and Philip Bischoff and Stefan Peidli and Anja Sieber and Benedikt Obermayer and Eric Blanc and Alexandra Trinks and Mareen Lüthen and Yana Ruchiy and Thomas Sell and Soulafa Mamlouk and Roberto Arsie and Tzu-Ting Wei and Kathleen Klotz-Noack and Roland F Schwarz and Birgit Sawitzki and Carsten Kamphues and Dieter Beule and Markus Landthaler and Christine Sers and David Horst and Nils Blüthgen and Markus Morkel
Highly Multiplexed Single-Cell Full-Length cDNA Sequencing of human immune cells with 10X Genomics and R2C2,,10.1101/2020.01.10.902361,True,,2020,,Cold Spring Harbor Laboratory,False,,Roger Volden and Christopher Vollmers
Single-nucleus RNA sequencing reveals transcriptional changes of hippocampal neurons in APP23 mouse model of Alzheimer’s disease,,10.1080/09168451.2020.1714420,True,Single-nucleus RNA sequencing reveals transcriptional changes of hippocampal neurons in APP23 mouse model of Alzheimer_s disease.pdf,2020,,"Bioscience, Biotechnology, and Biochemistry",True,SciHub,Shan Zhong and Mengdi Wang and Yaxi Zhan and Jie Zhang and Xiaoli Yang and Shumei Fu and Danlei Bi and Feng Gao and Yong Shen and Zuolong Chen
Titrating gene expression using libraries of systematically attenuated CRISPR guide RNAs,,10.1038/s41587-019-0387-5,True,Titrating gene expression using libraries of systematically attenuated CRISPR guide RNAs.pdf,2020,,Nature Biotechnology,True,SciHub,Marco Jost and Daniel A. Santos and Reuben A. Saunders and Max A. Horlbeck and John S. Hawkins and Sonia M. Scaria and Thomas M. Norman and Jeffrey A. Hussmann and Christina R. Liem and Carol A. Gross and Jonathan S. Weissman
Transcription phenotypes of pancreatic cancer are driven by genomic events during tumor evolution,,10.1038/s41588-019-0566-9,True,Transcription phenotypes of pancreatic cancer are driven by genomic events during tumor evolution.pdf,2020,,Nature Genetics,True,SciHub,Michelle Chan-Seng-Yue and Jaeseung C. Kim and Gavin W. Wilson and Karen Ng and Eugenia Flores Figueroa and Grainne M. O'Kane and Ashton A. Connor and Robert E. Denroche and Robert C. Grant and Jessica McLeod and Julie M. Wilson and Gun Ho Jang and Amy Zhang and Anna Dodd and Sheng-Ben Liang and Ayelet Borgida and Dianne Chadwick and Sangeetha Kalimuthu and Ilinca Lungu and John M. S. Bartlett and Paul M. Krzyzanowski and Vandana Sandhu and Herv{\'{e}} Tiriac and Fieke E. M. Froeling and Joanna M. Karasinska and James T. Topham and Daniel J. Renouf and David F. Schaeffer and Steven J. M. Jones and Marco A. Marra and Janessa Laskin and Runjan Chetty and Lincoln D. Stein and George Zogopoulos and Benjamin Haibe-Kains and Peter J. Campbell and David A. Tuveson and Jennifer J. Knox and Sandra E. Fischer and Steven Gallinger and Faiyaz Notta
Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and TREM2-independent cellular responses in Alzheimer’s disease,,10.1038/s41591-019-0695-9,True,Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and TREM2-independent cellular responses in Alzheimer_s disease.pdf,2020,,Nature Medicine,True,SciHub,Yingyue Zhou and Wilbur M. Song and Prabhakar S. Andhey and Amanda Swain and Tyler Levy and Kelly R. Miller and Pietro L. Poliani and Manuela Cominelli and Shikha Grover and Susan Gilfillan and Marina Cella and Tyler K. Ulland and Konstantin Zaitsev and Akinori Miyashita and Takeshi Ikeuchi and Makoto Sainouchi and Akiyoshi Kakita and David A. Bennett and Julie A. Schneider and Michael R. Nichols and Sean A. Beausoleil and Jason D. Ulrich and David M. Holtzman and Maxim N. Artyomov and Marco Colonna
An Integrated Gene Expression Landscape Profiling Approach to Identify Lung Tumor Endothelial Cell Heterogeneity and Angiogenic Candidates,,10.1016/j.ccell.2019.12.001,True,An Integrated Gene Expression Landscape Profiling Approach to Identify Lung Tumor Endothelial Cell Heterogeneity and Angiogenic Candidates.pdf,2020,,Cancer Cell,True,SciHub,Jermaine Goveia and Katerina Rohlenova and Federico Taverna and Lucas Treps and Lena-Christin Conradi and Andreas Pircher and Vincent Geldhof and Laura P.M.H. de Rooij and Joanna Kalucka and Liliana Sokol and Melissa Garc{\'{\i}}a-Caballero and Yingfeng Zheng and Junbin Qian and Laure-Anne Teuwen and Shawez Khan and Bram Boeckx and Els Wauters and Herbert Decaluw{\'{e}} and Paul De Leyn and Johan Vansteenkiste and Birgit Weynand and Xavier Sagaert and Erik Verbeken and Albert Wolthuis and Baki Topal and Wouter Everaerts and Hanibal Bohnenberger and Alexander Emmert and Dena Panovska and Frederik De Smet and Frank J.T. Staal and Rene J. Mclaughlin and Francis Impens and Vincenzo Lagani and Stefan Vinckier and Massimiliano Mazzone and Luc Schoonjans and Mieke Dewerchin and Guy Eelen and Tobias K. Karakach and Huanming Yang and Jian Wang and Lars Bolund and Lin Lin and Bernard Thienpont and Xuri Li and Diether Lambrechts and Yonglun Luo and Peter Carmeliet
Treatment-Induced Tumor Dormancy through YAP-Mediated Transcriptional Reprogramming of the Apoptotic Pathway,,10.1016/j.ccell.2019.12.006,True,Treatment-Induced Tumor Dormancy through YAP-Mediated Transcriptional Reprogramming of the Apoptotic Pathway.pdf,2020,,Cancer Cell,True,SciHub,Kari J. Kurppa and Yao Liu and Ciric To and Tinghu Zhang and Mengyang Fan and Amir Vajdi and Erik H. Knelson and Yingtian Xie and Klothilda Lim and Paloma Cejas and Andrew Portell and Patrick H. Lizotte and Scott B. Ficarro and Shuai Li and Ting Chen and Heidi M. Haikala and Haiyun Wang and Magda Bahcall and Yang Gao and Sophia Shalhout and Steffen Boettcher and Bo Hee Shin and Tran Thai and Margaret K. Wilkens and Michelle L. Tillgren and Mierzhati Mushajiang and Man Xu and Jihyun Choi and Arrien A. Bertram and Benjamin L. Ebert and Rameen Beroukhim and Pratiti Bandopadhayay and Mark M. Awad and Prafulla C. Gokhale and Paul T. Kirschmeier and Jarrod A. Marto and Fernando D. Camargo and Rizwan Haq and Cloud P. Paweletz and Kwok-Kin Wong and David A. Barbie and Henry W. Long and Nathanael S. Gray and Pasi A. JÃ¤nne
Integrated single cell analysis of blood and cerebrospinal fluid leukocytes in multiple sclerosis,,10.1038/s41467-019-14118-w,True,Integrated single cell analysis of blood and cerebrospinal fluid leukocytes in multiple sclerosis.pdf,2020,,Nature Communications,True,SciHub,David Schafflick and Chenling A. Xu and Maike Hartlehnert and Michael Cole and Andreas Schulte-Mecklenbeck and Tobias Lautwein and Jolien Wolbert and Michael Heming and Sven G. Meuth and Tanja Kuhlmann and Catharina C. Gross and Heinz Wiendl and Nir Yosef and Gerd Meyer zu Horste
Single-cell transcriptional profiles in human skeletal muscle,,10.1038/s41598-019-57110-6,True,Single-cell transcriptional profiles in human skeletal muscle.pdf,2020,,Scientific Reports,True,SciHub,Aliza B. Rubenstein and Gregory R. Smith and Ulrika Raue and Gw{\'{e}}naÃ«lle Begue and Kiril Minchev and Frederique Ruf-Zamojski and Venugopalan D. Nair and Xingyu Wang and Lan Zhou and Elena Zaslavsky and Todd A. Trappe and Scott Trappe and Stuart C. Sealfon
Single-cell transcriptome analysis reveals cell-cell communication and thyrocyte diversity in the zebrafish thyroid gland,,10.1101/2020.01.13.891630,True,,2020,,Cold Spring Harbor Laboratory,False,,Pierre Gillotay and Meghna Shankar and Benoit Haerlingen and Sema Elif Eski and Macarena Pozo-Morales and In{\'{e}}s Garteizgogeascoa Su{\~{n}}er and Susanne Reinhardt and Annekathrin Kränkel and Juliane Bläsche and Andreas Petzold and Nikolay Ninov and Gokul Kesavan and Christian Lange and Michael Brand and Vincent Detours and Sabine Costagliola and Sumeet Pal Singh
Decoding the development of the human hippocampus,,10.1038/s41586-019-1917-5 ,True,Decoding the development of the human hippocampus.pdf,2020,,Nature,True,SciHub,Suijuan Zhong and Wenyu Ding and Le Sun and Yufeng Lu and Hao Dong and Xiaoying Fan and Zeyuan Liu and Ruiguo Chen and Shu Zhang and Qiang Ma and Fuchou Tang and Qian Wu and Xiaoqun Wang
Sampling artifacts in single-cell genomics cohort studies,,10.1101/2020.01.15.897066,True,,2020,,Cold Spring Harbor Laboratory,False,,Ramon Massoni-Badosa and Giovanni Iacono and Catia Moutinho and Marta Kulis and N{\'{u}}ria Palau and Domenica Marchese and Javier Rodr{\'{\i}}guez-Ubreva and Esteban Ballestar and Gustavo Rodriguez-Esteban and Sara Marsal and Marta Aymerich and Dolors Colomer and Elias Campo and Antonio Juli{\`{a}} and Jos{\'{e}} Ignacio Mart{\'{\i}}n-Subero and Holger Heyn
Single-cell transcriptome maps of myeloid blood cell lineages in<i>Drosophila</i>,,10.1101/2020.01.15.908350,True,,2020,,Cold Spring Harbor Laboratory,False,,Bumsik Cho and Sang-Ho Yoon and Daewon Lee and Ferdinand Koranteng and Sudhir Gopal Tattikota and Nuri Cha and Mingyu Shin and Hobin Do and Yanhui Hu and Sue Young Oh and Seok Jun Moon and Norbert Perrimon and Jin-Wu Nam and Jiwon Shim
Self-Organizing 3D Human Trunk Neuromuscular Organoids,,10.1016/j.stem.2019.12.007,True,Self-Organizing 3D Human Trunk Neuromuscular Organoids.pdf,2020,,Cell Stem Cell,True,SciHub,Jorge-Miguel Faustino Martins and Cornelius Fischer and Alessia Urzi and Ramon Vidal and Severine Kunz and Pierre-Louis Ruffault and Loreen Kabuss and Iris Hube and Elisabeta Gazzerro and Carmen Birchmeier and Simone Spuler and Sascha Sauer and Mina Gouti
Identification of a Master Regulator of Differentiation in Toxoplasma,,10.1016/j.cell.2019.12.013,True,Identification of a Master Regulator of Differentiation in Toxoplasma.pdf,2020,,Cell,True,SciHub,Benjamin S. Waldman and Dominic Schwarz and Marc H. Wadsworth and Jeroen P. Saeij and Alex K. Shalek and Sebastian Lourido
Myocardial B cells are a subset of circulating lymphocytes with delayed transit through the heart,,10.1172/jci.insight.134700,True,,2020,,{JCI} Insight,False,,Luigi Adamo and Cibele Rocha-Resende and Chieh-Yu Lin and Sarah Evans and Jesse Williams and Hao Dun and Wenjun Li and Cedric Mpoy and Prabhakar S. Andhey and Buck E. Rogers and Kory Lavine and Daniel Kreisel and Maxim Artyomov and Gwendalyn J. Randolph and Douglas L. Mann
Novel Alzheimer risk genes determine the microglia response to amyloid‐β but not to TAU pathology,,10.15252/emmm.201910606,True,Novel Alzheimer risk genes determine the microglia response to amyloid_β but not to TAU pathology.pdf,2020,,{EMBO} Molecular Medicine,True,SciHub,Annerieke Sierksma and Ashley Lu and Renzo Mancuso and Nicola Fattorelli and Nicola Thrupp and Evgenia Salta and Jesus Zoco and David Blum and Luc Bu{\'{e}}e and Bart De Strooper and Mark Fiers
Surveying Brain Tumor Heterogeneity by Single-Cell RNA Sequencing of Multi-sector Biopsies,,10.1101/2020.01.19.911701,True,,2020,,Cold Spring Harbor Laboratory,False,,Kai Yu and Yuqiong Hu and Fan Wu and Qiufang Guo and Zenghui Qian and Waner Hu and Jing Chen and Kuanyu Wang and Xiaoying Fan and Xinglong Wu and John EJ Rasko and Xiaolong Fan and Antonio Iavarone and Tao Jiang and Fuchou Tang and Xiao-Dong Su
Developmental trajectory of oligodendrocyte progenitor cells in the human brain revealed by single cell RNA sequencing,,10.1002/glia.23777,True,Developmental trajectory of oligodendrocyte progenitor cells in the human brain revealed by single cell RNA sequencing.pdf,2020,,Glia,True,SciHub,Kelly Perlman and Charles P. Couturier and Moein Yaqubi and Arnaud Tanti and Qiao-Ling Cui and Florian Pernin and Jo Anne Stratton and Jiannis Ragoussis and Luke Healy and Kevin Petrecca and Roy Dudley and Myriam Srour and Jeffrey A. Hall and Timothy E. Kennedy and Naguib Mechawar and Jack P. Antel
Select autophagy genes maintain quiescence of tissue-resident macrophages and increase susceptibility to Listeria monocytogenes,,10.1038/s41564-019-0633-0,True,Select autophagy genes maintain quiescence of tissue-resident macrophages and increase susceptibility to Listeria monocytogenes.pdf,2020,,Nature Microbiology,True,SciHub,Ya-Ting Wang and Konstantin Zaitsev and Qun Lu and Shan Li and W. Timothy Schaiff and Ki-Wook Kim and Lindsay Droit and Craig B. Wilen and Chandni Desai and Dale R. Balce and Robert C. Orchard and Anthony Orvedahl and Sunmin Park and Darren Kreamalmeyer and Scott A. Handley and John D. Pfeifer and Megan T. Baldridge and Maxim N. Artyomov and Christina L. Stallings and Herbert W. Virgin
Targeted therapy guided by single-cell transcriptomic analysis in drug-induced hypersensitivity syndrome: a case report,,10.1038/s41591-019-0733-7,True,Targeted therapy guided by single-cell transcriptomic analysis in drug-induced hypersensitivity syndrome_ a case report.pdf,2020,,Nature Medicine,True,SciHub,Doyoung Kim and Tetsuro Kobayashi and Benjamin Voisin and Jay-Hyun Jo and Keiko Sakamoto and Seon-Pil Jin and Michael Kelly and Helena B. Pasieka and Jessica L. Naff and Jon H. Meyerle and Ijeoma D. Ikpeama and Gary A. Fahle and Fred P. Davis and Sergio D. Rosenzweig and Julie C. Alejo and Stefania Pittaluga and Heidi H. Kong and Alexandra F. Freeman and Keisuke Nagao
Transcriptional Programming of Human Mechanosensory Neuron Subtypes from Pluripotent Stem Cells,,10.1016/j.celrep.2019.12.062,True,Transcriptional Programming of Human Mechanosensory Neuron Subtypes from Pluripotent Stem Cells.pdf,2020,,Cell Reports,True,SciHub,Alec R. Nickolls and Michelle M. Lee and David F. Espinoza and Marcin Szczot and Ruby M. Lam and Qi Wang and Jeanette Beers and Jizhong Zou and Minh Q. Nguyen and Hans J. Solinski and Aisha A. AlJanahi and Kory R. Johnson and Michael E. Ward and Alexander T. Chesler and Carsten G. BÃ¶nnemann
Single-cell RNAseq analysis of testicular germ and somatic cell development during the perinatal period,,10.1242/dev.183251,True,Single-cell RNAseq analysis of testicular germ and somatic cell development during the perinatal period.pdf,2020,,Development,True,SciHub,Kun Tan and Hye-Won Song and Miles F. Wilkinson
"Single-cell RNA sequencing of
            <i>Trypanosoma brucei</i>
            from tsetse salivary glands unveils metacyclogenesis and identifies potential transmission blocking antigens",,10.1073/pnas.1914423117,True,Single-cell RNA sequencing of_            _i_Trypanosoma brucei__i__            from tsetse salivary glands unveils metacyclogenesis and identifies potential transmission blocking antigens.pdf,2020,,Proceedings of the National Academy of Sciences,True,SciHub,Aur{\'{e}}lien Vigneron and Michelle B. O'Neill and Brian L. Weiss and Amy F. Savage and Olivia C. Campbell and Shaden Kamhawi and Jesus G. Valenzuela and Serap Aksoy
Snake Venom Gland Organoids,,10.1016/j.cell.2019.11.038,True,Snake Venom Gland Organoids.pdf,2020,,Cell,True,SciHub,Yorick Post and Jens Puschhof and Joep Beumer and Harald M. Kerkkamp and Merijn A.G. de Bakker and Julien Slagboom and Buys de Barbanson and Nienke R. Wevers and Xandor M. Spijkers and Thomas Olivier and Taline D. Kazandjian and Stuart Ainsworth and Carmen Lopez Iglesias and Willine J. van de Wetering and Maria C. Heinz and Ravian L. van Ineveld and Regina G.D.M. van Kleef and Harry Begthel and Jeroen Korving and Yotam E. Bar-Ephraim and Walter Getreuer and Anne C. Rios and Remco H.S. Westerink and Hugo J.G. Snippert and Alexander van Oudenaarden and Peter J. Peters and Freek J. Vonk and Jeroen Kool and Michael K. Richardson and Nicholas R. Casewell and Hans Clevers
Silencing Trisomy 21 with XIST in Neural Stem Cells Promotes Neuronal Differentiation,,10.1016/j.devcel.2019.12.015,True,Silencing Trisomy 21 with XIST in Neural Stem Cells Promotes Neuronal Differentiation.pdf,2020,,Developmental Cell,True,SciHub,Jan Tomasz Czermi{\'{n}}ski and Jeanne Bentley Lawrence
Distinct Airway Epithelial Stem Cells Hide among Club Cells but Mobilize to Promote Alveolar Regeneration,,10.1016/j.stem.2019.12.014,True,Distinct Airway Epithelial Stem Cells Hide among Club Cells but Mobilize to Promote Alveolar Regeneration.pdf,2020,,Cell Stem Cell,True,SciHub,Jaymin J. Kathiriya and Alexis N. Brumwell and Julia R. Jackson and Xiaodan Tang and Harold A. Chapman
Lineage tracing on transcriptional landscapes links state to fate during differentiation,,10.1126/science.aaw3381,True,Lineage tracing on transcriptional landscapes links state to fate during differentiation.pdf,2020,,Science,True,SciHub,Caleb Weinreb and Alejo Rodriguez-Fraticelli and Fernando D. Camargo and Allon M. Klein
Bayesian correlation is a robust gene similarity measure for single-cell RNA-seq data,,10.1093/nargab/lqaa002,True,Bayesian correlation is a robust gene similarity measure for single-cell RNA-seq data.pdf,2020,,{NAR} Genomics and Bioinformatics,True,SciHub,Daniel Sanchez-Taltavull and Theodore J Perkins and Noelle Dommann and Nicolas Melin and Adrian Keogh and Daniel Candinas and Deborah Stroka and Guido Beldi
Single-cell analysis reveals new evolutionary complexity in uveal melanoma,,10.1038/s41467-019-14256-1,True,Single-cell analysis reveals new evolutionary complexity in uveal melanoma.pdf,2020,,Nature Communications,True,SciHub,Michael A. Durante and Daniel A. Rodriguez and Stefan Kurtenbach and Jeffim N. Kuznetsov and Margaret I. Sanchez and Christina L. Decatur and Helen Snyder and Lynn G. Feun and Alan S. Livingstone and J. William Harbour
Multi-omics characterization of a diet-induced obese model of non-alcoholic steatohepatitis,,10.1038/s41598-020-58059-7,True,Multi-omics characterization of a diet-induced obese model of non-alcoholic steatohepatitis.pdf,2020,,Scientific Reports,True,SciHub,Helene M. {\AE}gidius and Sanne S. Veidal and Michael Feigh and Philip Hallenborg and Michele Puglia and Tune H. Pers and Niels Vrang and Jacob Jelsing and Birgitte R. Kornum and Blagoy Blagoev and Kristoffer T. G. Rigbolt
Gene regulatory network reconstruction using single-cell RNA sequencing of barcoded genotypes in diverse environments,,10.7554/eLife.51254,True,Gene regulatory network reconstruction using single-cell RNA sequencing of barcoded genotypes in diverse environments.pdf,2020,,{eLife},True,SciHub,Christopher A Jackson and Dayanne M Castro and Giuseppe-Antonio Saldi and Richard Bonneau and David Gresham
Pro-efferocytic nanoparticles are specifically taken up by lesional macrophages and prevent atherosclerosis,,10.1038/s41565-019-0619-3,True,Pro-efferocytic nanoparticles are specifically taken up by lesional macrophages and prevent atherosclerosis.pdf,2020,,Nature Nanotechnology,True,SciHub,Alyssa M. Flores and Niloufar Hosseini-Nassab and Kai-Uwe Jarr and Jianqin Ye and Xingjun Zhu and Robert Wirka and Ai Leen Koh and Pavlos Tsantilas and Ying Wang and Vivek Nanda and Yoko Kojima and Yitian Zeng and Mozhgan Lotfi and Robert Sinclair and Irving L. Weissman and Erik Ingelsson and Bryan Ronain Smith and Nicholas J. Leeper
Integrated single cell analysis of human lung fibrosis resolves cellular origins of predictive protein signatures in body fluids,,10.1101/2020.01.21.20018358,True,,2020,,Cold Spring Harbor Laboratory,False,,Christoph H. Mayr and Lukas M. Simon and Gabriela Leuschner and Meshal Ansari and Philipp E. Geyer and Ilias Angelidis and Maximilian Strunz and Pawandeep Singh and Nikolaus Kneidinger and Frank Reichenberger and Edith Silbernagel and Stephan Böhm and Heiko Adler and Anne Hilgendorff and Michael Lindner and Antje Prasse and Jürgen Behr and Matthias Mann and Oliver Eickelberg and Fabian J. Theis and Herbert B. Schiller
Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,,10.1016/j.celrep.2019.12.082,True,Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration.pdf,2020,,Cell Reports,True,SciHub,Luz D. Orozco and Hsu-Hsin Chen and Christian Cox and Kenneth J. Katschke and Rommel Arceo and Carmina Espiritu and Patrick Caplazi and Sarajane Saturnio Nghiem and Ying-Jiun Chen and Zora Modrusan and Amy Dressen and Leonard D. Goldstein and Christine Clarke and Tushar Bhangale and Brian Yaspan and Marion Jeanne and Michael J. Townsend and Menno van Lookeren Campagne and Jason A. Hackney
Chromatin mapping and single-cell immune profiling define the temporal dynamics of ibrutinib response in CLL,,10.1038/s41467-019-14081-6,True,Chromatin mapping and single-cell immune profiling define the temporal dynamics of ibrutinib response in CLL.pdf,2020,,Nature Communications,True,SciHub,Andr{\'{e}} F. Rendeiro and Thomas Krausgruber and Nikolaus Fortelny and Fangwen Zhao and Thomas Penz and Matthias Farlik and Linda C. Schuster and Amelie Nemc and Szabolcs Tasn{\'{a}}dy and Marienn R{\'{e}}ti and Zolt{\'{a}}n M{\'{a}}trai and Don{\'{a}}t Alp{\'{a}}r and Csaba Bödör and Christian Schmidl and Christoph Bock
Chromatin mapping and single-cell immune profiling define the temporal dynamics of ibrutinib response in CLL,,10.1038/s41467-019-14081-6,True,Chromatin mapping and single-cell immune profiling define the temporal dynamics of ibrutinib response in CLL.pdf,2020,,Nature Communications,True,SciHub,Andr{\'{e}} F. Rendeiro and Thomas Krausgruber and Nikolaus Fortelny and Fangwen Zhao and Thomas Penz and Matthias Farlik and Linda C. Schuster and Amelie Nemc and Szabolcs Tasn{\'{a}}dy and Marienn R{\'{e}}ti and Zolt{\'{a}}n M{\'{a}}trai and Don{\'{a}}t Alp{\'{a}}r and Csaba Bödör and Christian Schmidl and Christoph Bock
Single-cell transcriptomics identifies CD44 as a marker and regulator of endothelial to haematopoietic transition,,10.1038/s41467-019-14171-5,True,,2020,,Nature Communications,False,,Morgan Oatley and Özge Vargel Bölükbas{\i} and Valentine Svensson and Maya Shvartsman and Kerstin Ganter and Katharina Zirngibl and Polina V. Pavlovich and Vladislava Milchevskaya and Vladimira Foteva and Kedar N. Natarajan and Bianka Baying and Vladimir Benes and Kiran R. Patil and Sarah A. Teichmann and Christophe Lancrin
Single-Nucleus Sequencing of an Entire Mammalian Heart: Cell Type Composition and Velocity,,10.3390/cells9020318,True,Single-Nucleus Sequencing of an Entire Mammalian Heart_ Cell Type Composition and Velocity.pdf,2020,,Cells,True,SciHub,Markus Wolfien and Anne-Marie Galow and Paula MÃ¼ller and Madeleine Bartsch and Ronald M. Brunner and Tom Goldammer and Olaf Wolkenhauer and Andreas Hoeflich and Robert David
Cell stress in cortical organoids impairs molecular subtype specification,,10.1038/s41586-020-1962-0,True,Cell stress in cortical organoids impairs molecular subtype specification.pdf,2020,,Nature,True,SciHub,Aparna Bhaduri and Madeline G. Andrews and Walter Mancia Leon and Diane Jung and David Shin and Denise Allen and Dana Jung and Galina Schmunk and Maximilian Haeussler and Jahan Salma and Alex A. Pollen and Tomasz J. Nowakowski and Arnold R. Kriegstein
